,song,artist,track_url,track_id,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Starboy,The Weeknd,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,5aAx2yezTd8zXrkmtKl66Z,0.165,https://api.spotify.com/v1/audio-analysis/5aAx2yezTd8zXrkmtKl66Z,0.681,230453.0,0.594,3.49e-06,7.0,0.134,-7.028,1.0,0.282,186.054,4.0,https://api.spotify.com/v1/tracks/5aAx2yezTd8zXrkmtKl66Z,audio_features,spotify:track:5aAx2yezTd8zXrkmtKl66Z,0.535
1,Closer,The Chainsmokers,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,7BKLCZ1jbUBVqRi2FVlTVw,0.414,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,0.748,244960.0,0.524,0.0,8.0,0.111,-5.599,1.0,0.0338,95.01,4.0,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,audio_features,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,0.661
2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,5knuzwU65gJK7IF5yJsuaW,0.406,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,0.72,251088.0,0.763,0.0,9.0,0.18,-4.068,0.0,0.0523,101.965,4.0,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,audio_features,spotify:track:5knuzwU65gJK7IF5yJsuaW,0.742
3,Let Me Love You,DJ Snake,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,4pdPtRcBmOSQDlJ3Fk945m,0.0784,https://api.spotify.com/v1/audio-analysis/4pdPtRcBmOSQDlJ3Fk945m,0.476,205947.0,0.718,1.02e-05,8.0,0.122,-5.309,1.0,0.0576,199.864,4.0,https://api.spotify.com/v1/tracks/4pdPtRcBmOSQDlJ3Fk945m,audio_features,spotify:track:4pdPtRcBmOSQDlJ3Fk945m,0.142
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From |Fifty Shades Darker (Original Motion Picture Soundtrack)|,ZAYN,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,3NdDpSvN911VPGivFlV5d0,0.0631,https://api.spotify.com/v1/audio-analysis/3NdDpSvN911VPGivFlV5d0,0.735,245200.0,0.451,1.3e-05,0.0,0.325,-8.374,1.0,0.0585,117.973,4.0,https://api.spotify.com/v1/tracks/3NdDpSvN911VPGivFlV5d0,audio_features,spotify:track:3NdDpSvN911VPGivFlV5d0,0.0862
5,Don't Wanna Know,Maroon 5,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,5MFzQMkrl1FOOng9tq6R9r,0.338,https://api.spotify.com/v1/audio-analysis/5MFzQMkrl1FOOng9tq6R9r,0.783,214480.0,0.623,0.0,7.0,0.0975,-6.126,1.0,0.08,100.048,4.0,https://api.spotify.com/v1/tracks/5MFzQMkrl1FOOng9tq6R9r,audio_features,spotify:track:5MFzQMkrl1FOOng9tq6R9r,0.447
6,Fake Love,Drake,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,343YBumqHu19cGoGARUTsd,0.108,https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd,0.927,210937.0,0.488,0.0,9.0,0.196,-9.433,0.0,0.42,133.987,4.0,https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd,audio_features,spotify:track:343YBumqHu19cGoGARUTsd,0.605
7,Say You Won't Let Go,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,5uCax9HTNlzGybIStD3vDh,0.695,https://api.spotify.com/v1/audio-analysis/5uCax9HTNlzGybIStD3vDh,0.358,211467.0,0.557,0.0,10.0,0.0902,-7.398,1.0,0.059,85.043,4.0,https://api.spotify.com/v1/tracks/5uCax9HTNlzGybIStD3vDh,audio_features,spotify:track:5uCax9HTNlzGybIStD3vDh,0.494
8,24K Magic,Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,6b8Be6ljOzmkOmFslEb23P,0.034,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P,0.818,225983.0,0.803,0.0,1.0,0.153,-4.282,1.0,0.0797,106.97,4.0,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,audio_features,spotify:track:6b8Be6ljOzmkOmFslEb23P,0.632
9,I Feel It Coming,The Weeknd,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,5GXAXm5YOmYT0kL5jHvYBt,0.426,https://api.spotify.com/v1/audio-analysis/5GXAXm5YOmYT0kL5jHvYBt,0.773,269187.0,0.819,0.0,0.0,0.0679,-5.946,0.0,0.118,92.99,4.0,https://api.spotify.com/v1/tracks/5GXAXm5YOmYT0kL5jHvYBt,audio_features,spotify:track:5GXAXm5YOmYT0kL5jHvYBt,0.585
10,Black Beatles,Rae Sremmurd,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,6fujklziTHa8uoM5OQSfIo,0.142,https://api.spotify.com/v1/audio-analysis/6fujklziTHa8uoM5OQSfIo,0.794,291893.0,0.632,0.0,0.0,0.128,-6.163,1.0,0.0649,145.926,4.0,https://api.spotify.com/v1/tracks/6fujklziTHa8uoM5OQSfIo,audio_features,spotify:track:6fujklziTHa8uoM5OQSfIo,0.355
11,One Dance,Drake,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,1xznGGDReH1oQq0xzbwXa3,0.00784,https://api.spotify.com/v1/audio-analysis/1xznGGDReH1oQq0xzbwXa3,0.791,173987.0,0.619,0.00423,1.0,0.351,-5.886,1.0,0.0532,103.989,4.0,https://api.spotify.com/v1/tracks/1xznGGDReH1oQq0xzbwXa3,audio_features,spotify:track:1xznGGDReH1oQq0xzbwXa3,0.371
12,Chantaje (feat. Maluma),Shakira,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,6mICuAdrwEjh6Y6lroV2Kg,0.187,https://api.spotify.com/v1/audio-analysis/6mICuAdrwEjh6Y6lroV2Kg,0.852,195840.0,0.773,3.05e-05,8.0,0.159,-2.921,0.0,0.0776,102.034,4.0,https://api.spotify.com/v1/tracks/6mICuAdrwEjh6Y6lroV2Kg,audio_features,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,0.907
13,Cold Water (feat. Justin Bieber & MØ),Major Lazer,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,6DNtNfH8hXkqOX1sjqmI7p,0.0736,https://api.spotify.com/v1/audio-analysis/6DNtNfH8hXkqOX1sjqmI7p,0.608,185352.0,0.798,0.0,6.0,0.156,-5.092,0.0,0.0432,92.943,4.0,https://api.spotify.com/v1/tracks/6DNtNfH8hXkqOX1sjqmI7p,audio_features,spotify:track:6DNtNfH8hXkqOX1sjqmI7p,0.501
14,Call On Me - Ryan Riback Extended Remix,Starley,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,78rIJddV4X0HkNAInEcYde,0.0604,https://api.spotify.com/v1/audio-analysis/78rIJddV4X0HkNAInEcYde,0.67,222041.0,0.838,0.000611,0.0,0.159,-4.031,1.0,0.0362,104.998,4.0,https://api.spotify.com/v1/tracks/78rIJddV4X0HkNAInEcYde,audio_features,spotify:track:78rIJddV4X0HkNAInEcYde,0.717
15,In the Name of Love,Martin Garrix,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,04DwTuZ2VBdJCCC5TROn7L,0.0592,https://api.spotify.com/v1/audio-analysis/04DwTuZ2VBdJCCC5TROn7L,0.49,195840.0,0.485,0.0,4.0,0.337,-6.237,0.0,0.0406,133.889,4.0,https://api.spotify.com/v1/tracks/04DwTuZ2VBdJCCC5TROn7L,audio_features,spotify:track:04DwTuZ2VBdJCCC5TROn7L,0.196
16,Bad and Boujee (feat. Lil Uzi Vert),Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,4Km5HrUvYTaSUfiSGPJeQR,0.061,https://api.spotify.com/v1/audio-analysis/4Km5HrUvYTaSUfiSGPJeQR,0.927,343150.0,0.665,0.0,11.0,0.123,-5.313,1.0,0.244,127.076,4.0,https://api.spotify.com/v1/tracks/4Km5HrUvYTaSUfiSGPJeQR,audio_features,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,0.175
